ibge_cod,regiao,uf,nome,porte,snt,media_mortes,pc1,prioridade,media_pop,media_frota,meta_pop,meta_veic,meta,meta_round,var,var_perc
420417,Sul,Santa Catarina,Cerro Negro,Menor porte,Não municipalizado,0.666666666666667,-1.21975689391018,20,3124.3333333333335,1818.3333333333333,0.5142485825142178,0.6511100501312962,0.582679316322757,1,-0.08398735034390992,-0.12598102551586482
421105,Sul,Santa Catarina,Monte Carlo,Menor porte,Municipalizado,2.666666666666667,-1.02935319301601,20,9865.333333333334,4954.333333333333,1.6237811851158421,1.7740510861780854,1.6989161356469638,2,-0.9677505310197032,-0.3629064491323887
430512,Sul,Rio Grande do Sul,Cerrito,Menor porte,Municipalizado,1.666666666666667,-1.05932736571829,20,6091.333333333333,3707,1.0026009385324672,1.3274051086178085,1.1650030235751379,1,-0.5016636430915291,-0.3009981858549174
430583,Sul,Rio Grande do Sul,Coqueiro Baixo,Menor porte,Municipalizado,0.333333333333333,0.0259363902311528,20,1501,838,0.24705658455793478,0.300071616137503,0.2735641003477189,0,-0.059769232985614096,-0.17930769895684248
430605,Sul,Rio Grande do Sul,Cristal,Menor porte,Municipalizado,2.666666666666667,-0.577424640564265,20,8008.666666666667,4734,1.3181837665087588,1.6951539746956314,1.5066688706021951,2,-1.1599977960644718,-0.4349991735241769
430607,Sul,Rio Grande do Sul,Cristal do Sul,Menor porte,Municipalizado,0.666666666666667,-1.16001701248937,20,2847.3333333333335,1642.6666666666667,0.4686558617130533,0.588207209357842,0.5284315355354476,1,-0.13823513113121932,-0.2073526966968289
430865,Sul,Rio Grande do Sul,Garruchos,Menor porte,Municipalizado,1,-0.333351389627019,20,2924.3333333333335,1196.6666666666667,0.4813296505278174,0.4285032227261876,0.45491643662700254,0,-0.5450835633729975,-0.5450835633729975
430912,Sul,Rio Grande do Sul,Gramado dos Loureiros,Menor porte,Municipalizado,0.666666666666667,-0.871922207994329,20,2082,1020.6666666666666,0.3426860819784278,0.36548102172356167,0.3540835518509947,0,-0.31258311481567225,-0.46887467222350815
430915,Sul,Rio Grande do Sul,Gramado Xavier,Menor porte,Municipalizado,1,-1.1335399836417,20,4324.666666666667,2133.6666666666665,0.711817039319264,0.7640248269276676,0.7379209331234657,1,-0.26207906687653426,-0.26207906687653426
430957,Sul,Rio Grande do Sul,Herveiras,Menor porte,Municipalizado,0.666666666666667,-1.14725693471362,20,3018.3333333333335,1365.3333333333333,0.49680154856142555,0.48889949868703747,0.49285052362423154,0,-0.17381614304243542,-0.260724214563653
431642,Sul,Rio Grande do Sul,Sagrada Família,Menor porte,Não municipalizado,0.666666666666667,-1.08106802025211,20,2609,1415.3333333333333,0.4294274677625928,0.5068035330627834,0.46811550041268807,0,-0.1985511662539789,-0.2978267493809682
431700,Sul,Rio Grande do Sul,Santana da Boa Vista,Menor porte,Municipalizado,2.333333333333333,-0.742057326711432,20,8098.333333333333,5125.666666666667,1.3329424210159948,1.8354022439723086,1.5841723324941517,2,-0.7491610008391814,-0.3210690003596492
431845,Sul,Rio Grande do Sul,São José das Missões,Menor porte,Municipalizado,1,-0.677046166640606,20,2537.6666666666665,1349.6666666666667,0.4176863820207766,0.4832895679159704,0.4504879749683735,0,-0.5495120250316265,-0.5495120250316265
432143,Sul,Rio Grande do Sul,Terra de Areia,Menor porte,Municipalizado,3,-0.554100373484263,20,11202.333333333334,7196.666666666667,1.8438442454449284,2.5769873478157077,2.210415796630318,2,-0.789584203369682,-0.26319473445656066
500490,Centro-Oeste,Mato Grosso do Sul,Jaraguari,Menor porte,Não municipalizado,1,-0.0925334479805653,20,7186.666666666667,2102,1.1828869560446533,0.7526856051563618,0.9677862806005075,1,-0.03221371939949247,-0.03221371939949247
500515,Centro-Oeste,Mato Grosso do Sul,Juti,Menor porte,Municipalizado,2,-0.918848537676886,20,6712.333333333333,3017,1.1048142223502404,1.0803294342325136,1.092571828291377,1,-0.907428171708623,-0.4537140858543115
520020,Centro-Oeste,Goiás,Água Limpa,Menor porte,Não municipalizado,0.666666666666667,-0.738629329086539,20,1850.6666666666667,860.3333333333334,0.3046098506474914,0.30806875149200286,0.30633930106974716,0,-0.3603273655969198,-0.5404910483953794
