codigo,sigla_uf,nome,regiao,porte,media_mortes,municipalizacao,cluster_A,cluster_B,cluster_C,PC1
150555,PA,Pau D'Arco,Norte,Menor porte,1,Não municipalizado,1,3,1,-1.02583429310717
150560,PA,Peixe-Boi,Norte,Menor porte,1,Não municipalizado,3,1,1,0.378905045193131
150563,PA,Piçarra,Norte,Menor porte,2.6666666666666665,Não municipalizado,2,1,1,-1.41762145705486
150610,PA,Primavera,Norte,Menor porte,1,Não municipalizado,1,1,1,0.0833224787042163
150611,PA,Quatipuru,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,-0.551949493916753
150616,PA,Rio Maria,Norte,Menor porte,4,Não municipalizado,1,1,3,-0.171089993170865
150655,PA,Santa Luzia do Pará,Norte,Menor porte,2,Não municipalizado,1,1,1,0.459296196988232
150710,PA,São Caetano de Odivelas,Norte,Menor porte,2,Não municipalizado,1,1,1,-0.256870110024406
150740,PA,São Francisco do Pará,Norte,Menor porte,4.666666666666667,Não municipalizado,2,1,1,-1.77368886164445
150746,PA,São João da Ponta,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,-0.453344714687028
150750,PA,São João do Araguaia,Norte,Menor porte,3,Não municipalizado,2,1,1,-1.63766473306317
150775,PA,Sapucaia,Norte,Menor porte,2,Não municipalizado,2,1,1,-2.28472267344454
150780,PA,Senador José Porfírio,Norte,Menor porte,2.6666666666666665,Não municipalizado,2,1,1,-3.05517023243834
150796,PA,Terra Alta,Norte,Menor porte,2,Não municipalizado,2,1,1,-1.33641846557966
150805,PA,Trairão,Norte,Menor porte,9,Não municipalizado,2,1,1,-4.01857025909705
160010,AP,Amapá,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,3,1,0.0110583956122599
160020,AP,Calçoene,Norte,Menor porte,1,Não municipalizado,1,1,1,-0.340275397738408
160021,AP,Cutias,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,-0.610973957621323
160025,AP,Itaubal,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,-0.62437804719449
160070,AP,Tartarugalzinho,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.0663577929643207
170030,TO,Aguiarnópolis,Norte,Menor porte,2,Não municipalizado,2,1,1,-1.06820449276228
170035,TO,Aliança do Tocantins,Norte,Menor porte,3.6666666666666665,Não municipalizado,2,2,3,-3.7833152685749
170040,TO,Almas,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-0.876370430034554
170070,TO,Alvorada,Norte,Menor porte,5,Não municipalizado,2,3,3,-2.49218578933054
170100,TO,Ananás,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,3,0.771162708133379
170130,TO,Aragominas,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-3.57246750609242
170190,TO,Araguacema,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-2.52992176236878
170215,TO,Araguanã,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,-0.765533141379911
170230,TO,Arapoema,Norte,Menor porte,1.6666666666666667,Não municipalizado,1,3,2,-0.42526023415744
170240,TO,Arraias,Norte,Menor porte,4.333333333333333,Não municipalizado,2,3,1,-3.08182606181143
170270,TO,Aurora do Tocantins,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,-0.0224581014886124
170290,TO,Axixá do Tocantins,Norte,Menor porte,4.333333333333333,Não municipalizado,2,1,1,-2.03504912849428
170300,TO,Babaçulândia,Norte,Menor porte,5.666666666666667,Não municipalizado,2,1,1,-4.72996304988859
170305,TO,Bandeirantes do Tocantins,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-2.70054434715345
170310,TO,Barrolândia,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,1.11802533479302
170320,TO,Bernardo Sayão,Norte,Menor porte,1,Não municipalizado,1,1,1,-0.622751777563209
170330,TO,Bom Jesus do Tocantins,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-1.89534055436891
170370,TO,Brejinho de Nazaré,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,3,-0.806408102042014
170380,TO,Buriti do Tocantins,Norte,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,-0.0656244292406578
170382,TO,Cachoeirinha,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,1,1,-1.23691069891115
170384,TO,Campos Lindos,Norte,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,-0.515086566242543
170388,TO,Carmolândia,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,2,3,-2.08685677652055
170389,TO,Carrasco Bonito,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,-0.490935972062229
170390,TO,Caseara,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.342488075354492
170410,TO,Centenário,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-4.35874994274641
170510,TO,Chapada da Natividade,Norte,Menor porte,2,Não municipalizado,2,1,1,-4.83496752138759
170555,TO,Combinado,Norte,Menor porte,1,Não municipalizado,3,1,3,-0.207336386280634
170560,TO,Conceição do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.975549151554644
170600,TO,Couto Magalhães,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-3.34603890244347
170610,TO,Cristalândia,Norte,Menor porte,2.6666666666666665,Não municipalizado,2,1,3,-1.0761219484452
170625,TO,Crixás do Tocantins,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,3,1,-1.82947794314443
170650,TO,Darcinópolis,Norte,Menor porte,3.3333333333333335,Não municipalizado,2,1,1,-4.37134940100804
170710,TO,Divinópolis do Tocantins,Norte,Menor porte,3,Não municipalizado,2,1,3,-2.03228009350203
170720,TO,Dois Irmãos do Tocantins,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,0.11940674935476
