ibge_cod,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes
351240,Sudeste,São Paulo,Cordeirópolis,Médio porte,Municipalizado,-0.5453088806905414,-0.6180972322522656,2.062784017773274,8.060170497813479,-1.19335833618007,0.2537276905273278,-1.0564793723744639,-0.835802532722438,-0.10343842462135074,1.2465043189115759,3.9123119968518845,1.3178386287924835,2.6666666666666665
351290,Sudeste,São Paulo,Cosmorama,Menor porte,Não municipalizado,-0.08606194669234983,-0.4999024163284158,3.129278257441505,-0.3907817117824211,-0.4909590304210802,0.48870242044909246,-0.9258463998242794,-0.835802532722438,-0.8693860388505051,1.4813343632562477,0.8740067182063592,0.8390838205644594,1.3333333333333333
351310,Sudeste,São Paulo,Cravinhos,Médio porte,Municipalizado,-0.3977050487062731,-0.5534510030253218,3.129278257441505,0.3717102169029231,-0.9926728202489299,1.2331439269037925,-1.0776950228948958,-0.6131520752482874,-0.721376425748829,1.0231685576427132,0.38461270976317014,1.291241139446482,4.666666666666667
351350,Sudeste,São Paulo,Cubatão,Maior porte,Municipalizado,0.11202889911628135,-0.1808504726244414,2.100736502440089,1.163825395231445,-0.28298424747451034,1.1338484836967642,-0.8398126528889956,-0.30217770514486575,0.12056646654444951,0.0479689592707504,3.477922158663328,1.0385649906594694,28
351380,Sudeste,São Paulo,Diadema,Maior porte,Municipalizado,-0.608296495398452,-0.563624539395789,3.0197268083327273,0.5593074374524919,0.27618524535855105,1.3408175512014857,-0.7630042826348434,-0.04132715021427535,0.024716752240350623,0.3188139744618112,0.4347838362987018,1.3045398841194829,41.666666666666664
351390,Sudeste,São Paulo,Divinolândia,Menor porte,Não municipalizado,-0.1042889027266408,-0.506832344659095,-0.7101010053641249,3.167513955415852,-0.25682592850141694,1.1430373229767834,-1.2441100520293598,8.405920009437187,6.109728045770451,1.5360363869057025,0.12970945631058675,0.9986687566404674,2
351495,Sudeste,São Paulo,Embaúba,Menor porte,Não municipalizado,3.0002028058190238,0.8950901263923993,1.849485169839628,-0.3907817117824211,-1.19335833618007,0.8307698231526941,-1.517557219600238,-0.835802532722438,0.26643673205759805,0.4815141204425727,-0.10495781697466837,0.9454737779484647,1.6666666666666667
351518,Sudeste,São Paulo,Espírito Santo do Pinhal,Médio porte,Municipalizado,-0.611121755925854,-0.6275362241555491,1.849485169839628,-0.3907817117824211,0.2114402753379095,0.419337255758208,-0.8136717209404196,4.543765161268673,1.1521929528809804,1.0955213976252873,0.3802997198815987,1.7035022243095028,4.333333333333333
351660,Sudeste,São Paulo,Gália,Menor porte,Não municipalizado,0.042787501574854975,-0.3426228842057854,1.849485169839628,4.946661789014988,-0.4909590304210802,0.28602033880998395,-1.140968996136546,2.8305106236210373,0.5838885610921053,0.6534419796548574,-0.05456310703189208,0.6662001398154507,1.3333333333333333
351685,Sudeste,São Paulo,Gavião Peixoto,Menor porte,Não municipalizado,0.5129543460077065,0.007889489131656218,1.849485169839628,-0.3907817117824211,0.2114402753379095,0.3084830947466761,-1.5725287825628913,-0.835802532722438,0.40103179232594843,0.022880503492911552,7.737507768030484,0.7991875865454573,1.3333333333333333
351770,Sudeste,São Paulo,Guará,Médio porte,Municipalizado,-0.6335675625143192,-0.5565164118535937,3.129278257441505,-0.3907817117824211,-0.7250921323407434,0.597063945710983,-1.0488583601325527,0.3538622882233556,-0.21428009720080968,0.199617128612449,-0.06550997986670541,0.7858888418724567,2
351930,Sudeste,São Paulo,Ibaté,Médio porte,Não municipalizado,-0.628040554291686,-0.5841635001737725,3.6411954924822556,0.9435791634169312,-0.5611989609969791,1.6366269905683752,-1.0860462131754516,-0.4338227986321402,-1.446013638697255,0.48047522540034204,-0.12156908999667063,0.5864076717774467,3.3333333333333335
351980,Sudeste,São Paulo,Icém,Menor porte,Municipalizado,1.0323152916331628,0.02388929980944092,3.129278257441505,-0.3907817117824211,-1.19335833618007,0.8366509704329372,-1.2552192909316666,-0.835802532722438,1.6705366163206,0.5634497313749585,-0.14428802027000476,0.812486331218458,3
352040,Sudeste,São Paulo,Ilhabela,Médio porte,Municipalizado,-1.039700191713554,-0.7541431390902571,-0.7101010053641249,2.2779400386162836,0.9138395810968992,0.9826530733919328,-0.029490429854642182,0.03966065921165648,2.2586128994253736,0.8473272944792659,15.356261951206346,1.291241139446482,1
